taxlevel	 rankID	 taxon	phylum	 total	D1_A	D1_B	D2_A	D2_B	D3_A	D3_B	D4_A	D4_B	D5_A	D5_B	DA0153	DA0154	DA0155	DA0156	DA0156_R	DA0157	DA0165	DA0192	DA0207	DA0208	DA0219	DA0227	DA0228	DA0236	DA0281	DA0283	DA0288	DA0296	DA0299	DA0309	DA0318	DA0328	DA0338	DA0339	DA0345	DA0346	DA0349	DA0379	DA0380	DA0381	DA0382	DA0383	DA0391	DA0394	DA0397	DA0415	DA0416	DA0416_R	DA0417	DA0426	DA0427	DA0435	DA0450	DA0453	DA0457	DA0458	DA0461	DA0467	DA0474	DA0475	DA0476	DA0488	DA0498	DA0525	DA0527	DA0530	DA0550	DA0551	DA0554	DA0556	DA0565	DA0568	DA0574	DA0578	DA0581	DA0592	DA0593	DA0595	DA0600	DA0600_O	DA0600_OS	DA0600_P	DA0600_X	DA0603	DA0611	DA0611_R	DA0615	DA0617	DA0618	DA0619	DA0621	DA0635	DA0635_R	DA0638	DA0638_R	DA0638_s	DA0666	DA0673	DA0676	DA0689	DA0695	DA0705	DA0718_R	DA0719	DA0721	DA0721_R	DA0725	DA0731	DA0734_R	DA0735	DA0738	DA0741	DA0752	DA0753	DA0754	DA0776	DA0778	DA0779	DA0780	DA0793	DA0804	DA0806	DA0810	DA0812	DA0820	DA0845	DA0850	DA0861	DA0864	DA0904	DA0908	DA0918	DA0926	DA0933	DA0933_R	DA0939	DA0941	DA0943	DA0948	DA0949	DA0954	DA0955	DA0963	DA0977	DA0978	DA0980	DA0984	DA0989	DA0991	DA0991_R	DA0993	DA0994	DA1008	DA1009	DA1009_s	DA1026	DA1030	DA1033_R	DA1039	DA1041	DA1043	DA1044	DA1046	DA1068	DA1071	DA1088	DA1102	DA1119	DA1119_s	DA1120	DA1125	DA1133	DA1139	DA1155	DA1174	DA1179	DA1193	DA1208	DA1215	DA1217	DA1223	DA1227	DA1231	DA1235	DA1244	DA1249	DA1250	DA1251	DA1287	DA1306	DA1320	DA1324	DA1335	DA1359	DA1365	DA1369	DA1370	DA1384	DA1388	DA1399	DA1419	DA1428	DA1468	DA1475	DA1482	DA1483	DA1484	DA1497	DA1504	DA1513	DA1514	DA1519	DA1525	DA1536	DA1545	DA1563	DA1580	DA1609	DA1621	DA1645	DA1648	DA1655	DA1657a	DA1657b	DA1673	DA1686	DA1718	DA1749	DA1752	DA1779	DA1810	DA1837	DA1904	DA1918	DA1936	DA1937	DA1945	DA1960	DA1962	DA1963	DA1966	DA1979	DA1993	DA2014	DA2043	DA2045	DA2047	DA2058	DA2059a	DA2059b	DA2063	DA2072a	DA2072b	DA2095	DA2102	DA2245	DA2263_s	DA2263a	DA2263b	DA2267	DA2276	DA2347	DA2355	DA2363	DA2430_s	DA2444	DA2559	DA2699	DA2710	DA2763	DA2764	DA2766	DA2792	DA2797	DA2803	DA2819	DA2822	DA2826	DA2830	DA2832	DA2840	DA2845	DA2850	DA2851	DA2852	DA2867	DA2869	DA2870	DA2871	DA2875	DA2879	DA2894	DA2905	DA2909	DA2910	DA2911	DA2932	DA2938	DA2939	DA2940	DA2942	DA2946	DA2960	DA2997	DA3027a	DA3027b	DA3035	DA3081	DA3091	DA3108	DA3137	DA3139	DA3143	DA3173	DA3185	DA3215	DA3215_O	DA3215_OS	DA3215_P	DA3215_X	DA3216	DA3216_OS	DA3217	DA3239	DA3240	DA3243	DA3243_X	DA3260_P	DA3260_X	DA3298	DA3299	DA3376	EXTR_NEG1	MOCKB	MOCKC	R1_A	R1_B	R1_C	R1_D	R1_E	R1_F	R2_A	R2_B	R2_C	R2_D	R2_E	R2_F	R3_A	R3_B	R3_D	R3_E	R3_F	R4_A	R4_B	R4_C	R4_D	R4_E	R4_F	R5_B	R5_C	R5_D	R5_E	R6_A	R6_B	R6_C	R6_D	R6_E	TD_DA0296	TD_DA2710	TD_water_021315	mock_C_021315	test	waterB	waterC
6	0.2.24.4.1.2.12	Dialister	02_Firmicutes	31233	448	318	0	0	0	6	121	41	395	701	9	0	0	0	0	0	215	0	0	0	3	155	0	0	0	0	0	2	0	0	317	0	11	0	0	0	1106	0	230	0	0	0	0	197	69	0	0	0	0	0	0	0	0	0	9	0	164	0	0	0	0	0	0	1	50	0	0	0	0	511	2	0	0	548	1	0	0	559	0	0	0	3	0	0	0	0	23	0	0	4	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	470	0	8	0	46	2	13	9	0	0	0	0	0	0	0	0	3	0	0	190	0	0	0	0	0	4	531	0	76	110	3	0	0	0	0	0	0	0	1	216	3	0	70	0	0	0	0	0	187	3	0	0	0	0	0	0	0	0	0	0	0	2	3	0	930	3	208	273	0	2	41	0	0	158	0	337	1792	0	0	0	0	2	0	0	12	156	2	0	381	0	501	0	0	0	1	0	12	0	0	1	191	0	0	0	0	0	319	0	169	0	0	7	0	0	0	8	22	0	6	0	0	0	0	0	0	0	0	0	0	8	2	119	0	0	121	0	0	0	0	4	0	0	31	0	0	0	0	283	0	22	4	0	0	303	7	0	0	0	0	18	0	2	8	2	164	3	0	0	0	0	0	0	0	0	0	0	0	0	0	664	0	0	19	157	5	209	211	0	0	143	0	684	0	0	0	56	0	0	0	0	0	0	0	0	1	1	0	0	0	61	13	168	238	0	0	0	22	0	0	18	158	52	41	30	0	0	0	0	0	0	0	0	0	0	0	0	1060	187	816	1839	603	960	3	1295	4700	687	197	244	577	121	104	0	0	0	11	2	0	0
6	0.2.24.4.1.2.29	unclassified_Veillonellaceae	02_Firmicutes	28754	0	0	6	1	3	0	0	0	0	14	1	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	1022	0	5771	0	0	0	14	0	0	0	0	0	1	1	0	0	0	263	0	0	0	32	0	105	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	13	19	0	0	0	5	0	11	0	0	10	0	144	0	4	0	0	0	0	0	10	0	5	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	22	0	0	279	0	0	0	0	7	1	0	1	0	9	1	0	18	0	0	0	0	0	0	0	0	0	2	3	0	0	1	0	0	1417	0	0	1791	0	0	0	0	39	0	0	0	0	0	57	0	0	0	0	0	0	0	59	3	94	803	117	0	0	7	0	263	0	3	0	94	17	1	0	0	0	0	4	0	0	1	19	50	0	0	0	0	0	0	116	0	0	361	0	4	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	1438	5	2	0	0	0	0	1781	0	0	0	0	0	0	3	124	0	0	0	0	41	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	1	3	0	0	11	0	0	0	19	0	16	0	10	0	0	0	0	0	0	18	2	0	6	0	0	0	0	0	0	0	28	0	0	3	0	0	0	0	0	0	0	0	0	0	364	178	465	0	0	2	0	0	0	0	0	0	37	46	0	0	0	2	10	0	0	0	0	7090	134	3	6	1111	2194	0	0	0	0	0	0	0	6	0	1
6	0.2.24.2.1.28.21	Subdoligranulum	02_Firmicutes	27081	6	5	5	9	254	211	14	10	4	16	0	36	0	0	0	0	0	0	0	0	0	0	0	323	304	0	0	38	49	0	8	0	61	2	5	145	0	0	0	0	233	20	2	2	2	0	0	0	341	0	0	0	0	1	0	36	0	2	0	0	5	2	0	35	146	20	146	0	0	0	7	0	0	0	651	0	4	1	57	20	3	18	27	103	0	0	14	78	65	258	0	0	0	25	38	76	0	73	0	0	49	0	0	0	2	76	0	267	0	5	0	0	0	0	0	746	46	0	26	0	4	0	3	21	0	0	0	1	0	0	0	0	0	7	0	24	0	3	0	0	0	0	28	0	0	0	0	157	0	0	0	0	3	3907	0	0	2	0	4	0	0	408	0	0	22	4	127	0	0	0	77	0	0	0	0	0	0	59	0	0	47	179	125	0	983	0	3	1555	0	7	0	0	17	0	0	0	1796	0	167	0	0	0	52	0	18	0	0	153	0	0	0	0	5	0	0	607	100	85	0	0	521	191	16	1	184	0	196	190	0	38	5	0	0	634	156	0	0	0	0	0	0	0	0	0	0	3	46	435	0	14	458	7	13	0	0	0	2044	36	0	154	0	58	0	0	0	198	7	31	9	138	1	0	0	0	0	0	56	0	0	0	209	114	0	0	0	0	66	0	0	0	0	0	105	395	0	99	0	0	2	237	113	29	14	0	185	1	0	0	0	183	33	222	0	66	69	135	80	16	72	345	9	18	0	0	74	175	3	340	289	0	0	10	7	0	0	0	0	457	32	37	210	0	0	17	0	0	0	0	0	97	59	64	26	325	3	24	4	0	0	13	2	0	0	0	65	20	52	22	1	0	1	0	2	0
6	0.2.24.2.1.22.2	Anaerostipes	02_Firmicutes	26587	195	107	2843	938	406	213	964	295	773	351	0	0	0	0	0	3	23	0	0	0	0	0	0	5	0	0	0	28	2	0	10	0	1	18	0	362	8	0	12	0	2	26	9	6	10	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	2	0	0	3	2	179	0	0	5	0	0	82	2	0	168	0	2	4	0	19	24	24	452	253	11	29	30	456	0	0	0	72	100	203	0	66	0	0	10	0	0	0	0	21	6	18	0	0	0	0	0	0	0	125	279	0	44	0	504	0	87	17	0	0	0	0	143	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	4	0	1	0	0	0	0	0	0	0	16	62	0	22	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	7	3	30	4	0	0	0	21	0	593	0	85	28	26	0	0	66	48	822	12	3	0	0	630	434	0	0	24	0	0	27	0	26	3	5	3	3	24	0	0	17	20	60	0	472	0	0	0	0	0	47	0	6	1	7	0	0	0	0	0	0	132	0	0	0	0	6	0	0	31	0	4	0	0	4	0	0	20	0	15	1	3	0	8	0	0	61	1	9	2	0	5	0	0	0	10	143	0	0	1	17	45	0	0	0	117	117	9	373	0	0	86	0	12	0	496	4	0	3	12	2	20	0	4	3	3	0	7	0	55	17	32	0	5	3	50	28	1	29	82	5	0	0	2	207	0	34	8	5	107	0	0	3	0	0	0	0	60	83	198	814	3	0	1385	2	216	1261	0	0	333	147	454	0	50	497	487	429	474	0	138	169	165	0	0	755	456	747	3	5	0	0	0	0	0
6	0.2.24.2.1.28.18	Ruminococcus	02_Firmicutes	26283	57	51	17	21	495	809	1731	789	785	1041	0	0	0	0	0	0	0	23	0	829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	976	3	0	0	58	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	0	0	0	2	0	0	2	0	0	0	0	0	3	0	0	0	0	0	373	0	1	0	0	0	0	0	0	0	0	0	0	0	92	4	59	0	0	0	3	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	42	0	78	0	1	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	2	0	0	0	0	0	0	64	0	294	0	0	0	0	0	0	0	29	0	0	0	0	0	0	13	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	1	0	33	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	60	285	356	607	0	0	0	0	0	0	0	0	0	1	0	0	0	1416	2046	1924	21	0	231	616	1584	0	0	423	1819	2574	0	0	0	0	0	0	0
6	0.2.24.2.1.28.12	Flavonifractor	02_Firmicutes	26109	15	11	0	17	30	34	7	2	2	5	0	142	0	0	0	0	92	18	0	56	0	404	0	0	56	0	1	67	84	0	140	0	150	12	0	52	0	3	0	819	38	121	74	28	0	0	0	0	36	0	0	256	327	1	118	8	0	7	0	1	0	1	0	2	9	24	48	1036	0	1	91	203	0	155	319	10	193	279	5	266	5198	508	344	20	1	0	499	8	0	13	0	0	0	108	116	248	0	1	0	0	0	0	0	0	0	77	22	121	0	0	0	0	0	0	0	61	70	8	77	0	0	0	0	0	0	0	0	12	75	0	0	0	0	0	10	0	0	0	3	0	111	0	33	0	0	77	0	15	0	0	0	0	0	0	0	1	19	0	0	19	0	22	664	0	30	0	21	0	0	0	0	0	0	0	0	0	0	176	0	0	3	307	163	0	66	0	2	109	23	44	0	1	36	0	0	96	1076	794	12	306	1119	30	33	0	50	0	0	0	12	0	22	0	137	1	0	26	138	8	13	0	24	14	4	0	140	0	0	0	0	4	338	3	0	223	239	0	16	0	0	0	0	0	0	0	0	0	192	54	0	0	46	49	16	0	0	0	2	53	0	33	0	1	0	0	0	4	6	15	62	108	0	167	0	0	35	1	150	0	0	27	18	0	0	0	0	749	61	0	0	0	6	25	18	47	0	43	11	0	0	165	254	175	113	0	184	2	16	372	0	212	1	49	0	34	39	34	19	56	14	16	0	43	0	0	0	5	0	127	175	44	0	1	0	3	0	0	0	53	4	3	16	0	0	212	0	83	10	0	0	56	89	259	136	162	0	25	2	3	0	10	3	2	0	0	46	84	331	11	61	0	0	0	0	0
6	0.2.24.4.1.2.14	Megasphaera	02_Firmicutes	25374	0	0	12	2	0	0	0	0	0	0	628	1475	7515	0	0	0	269	0	0	0	58	2	1	0	0	0	0	8	0	0	405	0	0	0	0	0	91	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	8	0	3	302	0	0	5	0	0	0	0	0	0	2	0	694	0	0	0	0	1	7	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	101	0	0	4	0	0	0	0	219	163	0	0	0	563	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	11	0	53	0	0	0	0	0	0	17	0	1246	45	0	0	0	0	0	0	0	0	0	0	811	4	0	0	0	0	0	0	0	8	0	2	1	0	0	0	0	0	0	139	0	0	0	3	0	270	0	0	137	0	2	0	0	3	7	0	0	0	0	0	117	0	5	0	0	0	0	0	7	0	0	0	0	5	7	0	0	0	0	1447	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	53	0	0	1448	0	0	18	0	0	14	0	3	4	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	315	202	286	0	0	0	1	0	0	0	1	0	1753	3032	0	0	0	598	169	0	0	0	0	206	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0
6	0.2.24.2.1.28.8	Clostridium_IV	02_Firmicutes	22628	195	160	77	85	32	26	139	37	133	302	0	0	0	0	0	0	2	12	0	0	0	0	0	15	157	3	0	59	2298	0	4	190	6	0	55	164	0	3	0	0	112	35	4	1	3	2	0	0	0	0	0	0	28	11	3	1	0	4	0	0	26	0	2	484	13	173	83	0	0	6	9	0	0	105	272	0	0	8	27	32	104	89	43	10	0	0	40	99	0	90	0	0	0	7	21	39	0	9	0	0	0	0	0	6	0	57	10	61	0	0	0	0	0	1	0	1057	187	0	14	3	4	0	78	7	0	0	0	70	0	3	0	0	30	0	0	2	0	0	0	0	159	0	225	0	0	0	9	302	0	0	0	401	0	641	0	4	13	0	0	0	3	43	0	0	0	0	699	112	476	0	0	0	0	0	0	0	0	0	0	0	24	121	49	17	48	0	0	120	0	49	0	0	0	0	0	187	74	10	3	0	3	3	45	36	12	0	1	4	0	0	17	0	47	0	1	76	67	23	0	0	54	33	6	0	20	0	0	0	0	33	6	0	28	41	35	0	1	0	3	253	0	0	0	103	0	10	299	10	0	44	3	0	223	0	0	0	412	44	0	309	0	113	0	13	117	2	5	34	1	30	0	59	0	0	42	5	167	0	0	0	166	114	0	0	0	4	498	0	35	0	17	0	0	21	0	192	0	0	29	27	6	24	267	0	9	60	4	0	0	140	62	28	0	54	1008	189	330	356	208	467	164	62	2	0	0	0	152	23	2	5	0	0	1	0	0	0	0	217	72	192	299	3	1	52	0	1	6	0	0	734	567	235	17	34	188	199	51	37	0	28	174	0	13	35	46	81	196	3	0	0	0	0	0	0
6	0.2.24.2.1.22.24	Roseburia	02_Firmicutes	21513	63	69	1313	503	213	144	2431	685	0	0	0	2	1	0	1	3	180	44	3	0	2	275	1	3	0	0	1	3	8	0	289	0	291	30	0	46	3	0	8	0	101	4	3	3	0	0	0	0	3	2	3	0	6	2	29	2	4	5	5	2	0	2	0	0	0	2	2	2	2	44	159	6	4	17	0	0	3	4	0	0	4	14	0	18	5	0	53	2	0	0	0	6	0	2	2	0	0	0	0	0	4	0	2	7	1	8	3	0	0	0	0	1	0	0	11	0	768	8	6	0	125	0	23	202	6	2	0	3	9	7	0	0	0	10	0	106	0	14	0	0	6	0	0	2	0	0	0	55	0	0	0	8	0	3	3	3	31	0	0	2	152	347	3	0	7	0	12	10	3	1	0	7	0	0	3	9	1	41	2	0	53	14	198	401	3	0	0	1	0	233	1	2	1	9	0	2	68	0	0	29	0	1	0	0	75	0	7	8	3	1	0	5	50	10	224	53	266	0	4	0	4	1	16	5	0	2	0	0	0	14	4	6	0	2	211	1	6	1	0	6	0	2	4	0	0	799	35	0	1	74	1	36	54	0	0	0	4	0	0	0	1	674	1	0	1	4	4	24	24	5	2	0	10	0	12	0	3	1	0	115	65	2	0	2	0	337	3	1	0	0	0	0	0	9	0	423	0	0	90	0	1	10	19	0	0	47	0	0	0	8	8	6	1	0	0	0	0	0	1	0	1	1	0	0	0	0	87	124	200	62	0	2	2	0	0	0	0	13	370	268	1137	0	0	56	1	423	1	0	0	640	320	203	0	0	166	446	265	197	0	0	0	944	2	0	135	636	678	11	18	0	0	0	0	0
6	0.2.24.3.1.1.13	unclassified_Erysipelotrichaceae	02_Firmicutes	17004	231	241	2783	685	701	255	511	95	2	4	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0	0	3	0	0	0	0	75	0	0	175	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	29	0	0	10	0	0	0	0	0	0	0	2	0	2	0	0	11	0	0	12	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	20	0	0	0	0	0	0	0	0	0	0	26	0	0	0	25	53	2	0	0	0	1	0	113	0	0	0	8	0	28	45	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	22	21	0	35	0	0	0	0	0	85	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	15	4	0	11	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	1	0	0	0	0	0	0	0	0	32	0	0	0	24	3	0	40	0	0	0	0	7	0	4	7	6	0	0	0	15	18	0	1	9	4	0	0	0	7	0	710	2	6	2	0	0	0	0	0	3	10	219	306	570	1439	15	0	17	5	70	4	3	0	41	53	46	10	135	238	301	364	444	0	2	4	0	436	2308	1253	356	568	0	0	0	0	0	0	0
6	0.2.24.1.2.4.3	Pediococcus	02_Firmicutes	16330	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	7	17	0	48	0	0	1315	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46	0	0	1	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	18	1589	2497	0	0	2	0	1	0	0	0	0	0	10	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	58	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	799	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	3	0	196	258	9	0	0	0	29	0	0	346	127	2604	423	727	0	0	0	580	2925	0	0	3	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.2.24.4.1.2.13	Megamonas	02_Firmicutes	13527	0	0	0	0	0	0	0	0	0	0	66	9029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3735	4	0	0	0	0	0	0	0	0	650	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.2.24.4.1.1.1	Acidaminococcus	02_Firmicutes	13260	0	0	0	0	0	0	0	0	1	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2298	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1875	0	0	0	0	0	21	16	45	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	1	0	0	304	353	0	0	0	0	70	0	0	1	0	0	0	0	0	0	4	0	0	0	58	0	0	0	0	0	5	0	439	0	0	0	1488	0	0	51	0	0	0	201	0	372	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	112	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	117	0	0	6	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1168	1828	623	0	0	0	0	0	0	0	0	23	0	1	0
6	0.2.24.2.1.22.8	Clostridium_XlVb	02_Firmicutes	12803	1	6	300	33	40	53	78	23	1	11	0	290	0	3	2	0	153	0	0	0	0	2	0	0	0	0	0	3	2	0	158	0	6	0	0	6	0	0	5	0	22	131	0	29	109	0	6	0	0	2	0	0	0	0	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	181	0	0	23	12	0	0	1	0	0	6	0	0	20	0	0	679	0	9	0	0	0	0	32	40	71	0	74	0	0	0	0	0	4	7	25	0	39	0	11	0	0	0	0	0	0	15	0	54	0	12	0	0	174	0	0	0	38	4	0	0	0	0	12	0	0	0	0	0	0	242	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	6	40	0	0	10	0	0	0	0	53	0	0	72	0	0	0	0	0	2	0	0	4	0	2	110	0	0	0	0	0	0	15	87	0	0	0	79	0	0	6	0	0	8	0	0	0	0	18	8	80	0	0	6	137	1	0	25	0	0	0	0	0	80	0	0	890	117	0	0	0	0	0	0	0	0	0	0	2	1	29	0	4	22	14	94	0	36	0	0	0	0	0	0	3	0	0	0	20	0	0	39	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	86	0	0	0	0	40	3	76	0	79	0	0	0	0	81	0	4	0	0	0	10	5	1084	0	37	10	3	0	0	0	0	40	9	4	0	0	0	0	0	0	0	0	1	0	35	6	0	0	348	2	129	0	0	0	11	17	62	441	288	8	575	32	62	0	31	19	14	819	2768	7	0	25	0	28	0	0	0	0	0
6	0.2.24.1.2.6.1	Lactococcus	02_Firmicutes	12520	0	1	70	25	3	9	0	1	3	5	109	0	17	1	2	0	0	0	6	0	8	0	0	0	71	0	0	2	0	534	0	0	0	0	7	5	0	0	0	0	0	1	2	1	0	95	0	0	0	0	0	0	0	1	5	0	38	0	0	12	0	105	0	371	0	0	0	0	0	0	0	13	26	0	9	2	0	2	2	0	1	8	3	1	0	1	0	5	0	2	18	0	1	0	0	0	403	0	0	19	0	1	0	0	0	1	0	0	2	0	4	0	0	266	1	0	15	0	0	0	2	0	52	0	0	0	11	0	0	6	0	1213	0	0	0	0	3	0	0	561	0	2	0	12	130	155	146	0	115	7	425	0	0	5	0	0	0	10	0	539	1	0	0	5	0	3	0	541	0	0	0	0	0	0	1	4	3	0	1056	18	0	0	0	0	1	5	0	1	0	0	0	0	0	112	12	0	18	0	0	0	0	0	0	10	3	10	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	2	22	0	0	0	0	0	0	9	2078	3	5	0	0	0	0	0	0	2	0	0	64	0	0	0	6	2	0	0	0	31	3	5	10	0	2	14	1	0	1145	3	732	27	0	0	5	1	6	2	0	0	0	0	0	0	0	0	2	37	0	1	0	3	3	0	0	3	2	14	0	0	0	2	16	5	0	0	0	0	0	2	0	0	0	4	8	0	244	2	0	0	0	0	2	1	0	0	84	0	0	0	3	0	6	0	0	114	0	9	6	0	0	0	24	3	0	0	0	4	10	0	0	3	6	18	25	1	1	0	16	22	11	6	6	15	4	1	0	11	0	0	0	0	2	0	0	0	0	58	0	0
