OTU	Size	Taxonomy	taxname	phylum
Otu00052	11752	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);unclassified(96);	Otu00052_Lachnospiraceae	Firmicutes
Otu00053	8445	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);	Otu00053_Actinomyces	Actinobacteria
Otu00054	14084	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);unclassified(90);	Otu00054_Ruminococcaceae	Firmicutes
Otu00055	9168	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);	Otu00055_Clostridium_XlVa	Firmicutes
Otu00056	8602	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);	Otu00056_Ruminococcus2	Firmicutes
Otu00057	32812	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);	Otu00057_Phascolarctobacterium	Firmicutes
Otu00058	8804	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Coprococcus(100);	Otu00058_Coprococcus	Firmicutes
Otu00059	15822	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Collinsella(100);	Otu00059_Collinsella	Actinobacteria
Otu00060	23210	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Parasutterella(100);	Otu00060_Parasutterella	Proteobacteria
Otu00061	15395	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(99);	Otu00061_Clostridium_XlVa	Firmicutes
Otu00062	8804	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Butyricimonas(100);	Otu00062_Butyricimonas	Bacteroidetes
Otu00063	2220	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Bradyrhizobiaceae(100);Bradyrhizobium(86);	Otu00063_Bradyrhizobium	Proteobacteria
